"Window = 0.1","Window = 0.11","Window = 0.12","Window = 0.13","Window = 0.14","Window = 0.15","Window = 0.16","Window = 0.17","Window = 0.18","Window = 0.19","Window = 0.2","Window = 0.21","Window = 0.22","Window = 0.23","Window = 0.24","Window = 0.25"
"Landmark Time = 0.3",0.804233230099223,0.806014447358915,0.804408177468348,0.809102270164534,0.809013047696778,0.810415941173392,0.809763738414458,0.810307399487461,0.810190497504863,0.811196894319288,0.812273636880734,0.812232242925043,0.811775233841059,0.811966953091815,0.811325973523437,0.813197494496882
"Landmark Time = 0.4",0.812402869557553,0.811105290640365,0.808525789194767,0.809282373781771,0.808476260803992,0.810469063950921,0.810038012497584,0.8085659227784,0.808664673684798,0.80928296727473,0.80936516657855,0.811274614019713,0.81185591367628,0.813240326156086,0.812769331615766,0.812164980469745
"Landmark Time = 0.5",0.798518230668427,0.802666516772504,0.802684057934178,0.805996494369261,0.80474706552286,0.803921454567632,0.80099199271696,0.803786091087241,0.8009643475638,0.799382562611412,0.799699862630056,0.800301591983975,0.799539580384485,0.801312410523903,0.802108526584941,0.801640287188768
"Landmark Time = 0.55",0.801000518535707,0.798847576208873,0.80189118955587,0.797650733257077,0.794617829206377,0.794282998618705,0.794468913940011,0.793303632452153,0.796042746566144,0.797135776965604,0.796699158185811,0.794181827014222,0.793560301574665,0.789076086189048,0.785947728270786,0.786177531405876
"Landmark Time = 0.6",0.784041973754577,0.786199649319343,0.787913177032116,0.792662004700526,0.793772276200279,0.792863851398747,0.788549920525054,0.788253996151981,0.782404150004317,0.778825828803179,0.7794798575781,0.77650904755018,0.776024846818678,0.771069267193904,0.773060024389273,0.769727666569607
"Landmark Time = 0.3",0.765071397345596,0.767152631471053,0.766355766626181,0.77070238424353,0.770600597568167,0.77195105881055,0.770404742056856,0.770023307728847,0.769122208346453,0.770421608153464,0.770171039754331,0.770954565802077,0.77131206279814,0.771864502946267,0.771675041947299,0.772283739320786
"Landmark Time = 0.4",0.791735168724525,0.791371739729743,0.788609583232879,0.790215065037351,0.790840781113916,0.791874818227268,0.791358662704842,0.789498142655942,0.789213903795679,0.789844128902772,0.790469898407369,0.791767349732985,0.792173767033601,0.794194653938311,0.793096786590942,0.792814981822111
"Landmark Time = 0.5",0.784224595755828,0.78787787662036,0.787640527654531,0.791496610852917,0.78958632106721,0.788321344844651,0.785897328409119,0.78705230299507,0.784180838419126,0.780914189245193,0.779937801624034,0.780072289820246,0.77923822412293,0.780173233367548,0.780997608284075,0.779997711099021
"Landmark Time = 0.55",0.784447494548175,0.782939323537908,0.784366524161139,0.780031944066199,0.775419188548293,0.773787865652681,0.774389564675613,0.773707817222903,0.775708987088499,0.776984341287882,0.776489303072106,0.771295623245343,0.769481585821964,0.76510933029197,0.760741094342566,0.758909795683977
"Landmark Time = 0.6",0.758986920544446,0.76091237278829,0.763951132069407,0.767467893940339,0.770075359152139,0.770010339602659,0.764523946232526,0.761797053426237,0.757033329875786,0.751963123856284,0.749789903271792,0.746907524223716,0.746344120276068,0.741003916169099,0.741092930767148,0.734201520286417
"Landmark Time = 0.3",0.0408556862436585,0.044372042277439,0.0481704839627893,0.0512039475746596,0.0545500623634658,0.0578770504495404,0.0609029846251165,0.0636713780279825,0.0663205611329145,0.0685826112927355,0.0712326405969049,0.0741686732109259,0.0768583934126268,0.0788566380612823,0.0811007256769671,0.0836030159233211
"Landmark Time = 0.4",0.0420841216698225,0.0459882777227082,0.0496853343807104,0.0523501185302579,0.0553909014926161,0.0587486230913274,0.0612996414957265,0.0643029026957403,0.06636845327099,0.0691702286178327,0.071450058477898,0.0731919772079462,0.0753136957095507,0.0773977708711383,0.0798371316525382,0.0825750928969883
"Landmark Time = 0.5",0.0409176039391477,0.0434644984909717,0.0463422283892904,0.0491924761294746,0.0524256647115713,0.0559878106880373,0.0586778885388017,0.0613884410963793,0.0638658780857161,0.0663681253670366,0.0685617802613672,0.0698696364554314,0.0720396050800127,0.0739720661452658,0.0757565388003632,0.0778611751047675
"Landmark Time = 0.55",0.0385314623610986,0.0416073394105998,0.0447991345359671,0.0476848180232906,0.0505477020376444,0.0530704158832975,0.054574690239243,0.057106641479179,0.0593868889494034,0.0614215806459734,0.0638320353271624,0.0670085322550328,0.0693897553070505,0.0718098477394391,0.0740606715220924,0.0764193289198189
"Landmark Time = 0.6",0.0373679589578191,0.0390600858309413,0.0419692443945526,0.0445738569726382,0.0468515573829269,0.049547375231216,0.0530362485624158,0.0556938619767,0.0583309625719295,0.0607869972532637,0.0633783990925453,0.0663271704578223,0.0684271221158375,0.0716977049037406,0.0736696273971627,0.0759809617659891
"Landmark Time = 0.3",0.0424233494347542,0.0462014755027852,0.0503096286573071,0.0538990621394707,0.0574406025995498,0.0611750563344129,0.0644701759440215,0.067657044345891,0.0707716762140158,0.073233226764046,0.0761644167021273,0.0792570224326327,0.0823653121079201,0.0845645007549191,0.0872880519229991,0.0902641407266848
"Landmark Time = 0.4",0.0431311426242148,0.0470479442220954,0.0508857291698471,0.0536639070319712,0.0569871715095614,0.0605486190396348,0.0632930909262824,0.0664214916472031,0.068604008283927,0.0715365822136362,0.0738718479175458,0.075920950599609,0.0782715486701014,0.0804296558132549,0.0831800538450364,0.0860147782710755
"Landmark Time = 0.5",0.041638873929842,0.0443436499226122,0.0474254811564176,0.0503721422134162,0.0537994887722667,0.0574221976069804,0.0602072434894452,0.0630600000765619,0.0657641580466201,0.0684839706595111,0.0708208943078767,0.0722094831381934,0.0746650627688469,0.0768470137030748,0.0786980742611235,0.0809216621282024
"Landmark Time = 0.55",0.0392102947448963,0.0423490059394861,0.0456346709370002,0.0486796973540418,0.0517272165266363,0.054384276259736,0.0559754821228368,0.0587510020099437,0.0612507203429518,0.063330694621566,0.0657924744846282,0.069129261151562,0.0716190435676751,0.0741598396083154,0.0766393559994886,0.0791715385822669
"Landmark Time = 0.6",0.0380718799420002,0.0398499717751209,0.0429599824899206,0.0457195581109912,0.0480538519092925,0.0507735504855647,0.0543943175927992,0.0571532416269588,0.0598839355461524,0.0625500072463642,0.0653419152522509,0.0683645764798257,0.070696967915227,0.0742406513026262,0.0765291035460994,0.0790293499246138
